filename,bend,rotate,vshift,angle,depth
variation_172.png,2.5,5,35,20.37,78.26
variation_173.png,5,10,35,29.27,78.26
variation_174.png,7.5,15,35,37.31,78.26
variation_184.png,-5,-10,40,-3.84,89.44
variation_185.png,-2.5,-5,40,5.54,89.44
variation_186.png,0,0,40,13.74,89.44
variation_187.png,2.5,5,40,23.58,89.44
variation_188.png,5,10,40,33.03,89.44
variation_198.png,-7.5,-15,45,-9.73,100.62
variation_199.png,-5,-10,45,-0.2,100.62
variation_200.png,-2.5,-5,45,8.6,100.62
variation_201.png,0,0,45,17.87,100.62
variation_202.png,2.5,5,45,26.81,100.62
variation_203.png,5,10,45,36.38,100.62
variation_204.png,7.5,15,45,44.95,100.62
variation_213.png,-7.5,-15,50,-3.84,111.8
variation_214.png,-5,-10,50,3.01,111.8
variation_215.png,-2.5,-5,50,14.07,111.8
variation_216.png,0,0,50,21.97,111.8
variation_217.png,2.5,5,50,31.63,111.8
NO001.bmp,0,4.511,0,0,25.30355707
NO002.bmp,0,17.139,0,0,29.67980163
NO001.bmp,0,7.914,0,0,-2.338933785
NO002.bmp,0,20.781,0,0,1.194558077
NO001.bmp,0,28.531,0,0,36.83090716
NO002.bmp,0,23.459,0,0,23.75345004
NO001.bmp,0,15.958,0,0,38.6003823
NO002.bmp,0,12.425,0,0,23.81832278
NO001.bmp,0,20.032,0,0,9.803820123
NO002.bmp,0,8.981,0,0,28.08427379
NO001.bmp,0,-5.998,0,0,24.75475696
NO002.bmp,0,5.151,0,0,11.76131171
NO001.bmp,0,34.161,0,0,31.03202177
NO002.bmp,0,5.321,0,0,28.17800561
NO001.bmp,0,-17.476,0,0,10.56851982
NO002.bmp,0,9,0,0,18.85162025
NO001.bmp,0,18.235,0,0,14.98660699
NO002.bmp,0,-3.245,0,0,24.71779021
NO001.bmp,0,7.612,0,0,17.13220692
NO002.bmp,0,3.276,0,0,28.1258706
NO001.bmp,0,8.331,0,0,17.40586247
NO002.bmp,0,28.074,0,0,39.05909803
NO001.bmp,0,13.622,0,0,47.50303338
NO002.bmp,0,7.543,0,0,31.82769688
NO001.bmp,0,26.29,0,0,48.68714727
NO002.bmp,0,9.973,0,0,26.15094434
NO001.bmp,0,10.454,0,0,31.1687907
NO002.bmp,0,11.349,0,0,5.003712871
NO001.bmp,0,3.788,0,0,15.72322977
NO002.bmp,0,17.945,0,0,27.18759256
NO001.bmp,0,-0.515,0,0,42.92815769
NO002.bmp,0,22.709,0,0,30.48640722
