filename,bend,rotate,vshift,angle,depth
variation_01,-12.5,-25,-20,7.05,-44.72
variation_02,-10,-20,-20,8.07,-44.72
variation_03,-7.5,-15,-20,8.6,-44.72
variation_04,-5,-10,-20,9.61,-44.72
variation_05,-2.5,-5,-20,9.61,-44.72
variation_06,0,0,-20,11.17,-44.72
variation_07,2.5,5,-20,12.16,-44.72
variation_08,5,10,-20,13.13,-44.72
variation_09,7.5,15,-20,13.74,-44.72
variation_10,10,20,-20,14.69,-44.72
variation_11,12.5,25,-20,14.69,-44.72
variation_12,15,30,-20,16.27,-44.72
variation_13,17.5,35,-20,17.87,-44.72
variation_14,20,40,-20,18.57,-44.72
variation_15,22.5,45,-20,21.1,-44.72
variation_16,-12.5,-25,-15,1.96,-33.54
variation_17,-10,-20,-15,3.44,-33.54
variation_18,-7.5,-15,-15,4.5,-33.54
variation_19,-5,-10,-15,6.02,-33.54
variation_20,-2.5,-5,-15,8.07,-33.54
variation_21,0,0,-15,9.61,-33.54
variation_22,2.5,5,-15,11.17,-33.54
variation_23,5,10,-15,13.13,-33.54
variation_24,7.5,15,-15,14.69,-33.54
variation_25,10,20,-15,16.27,-33.54
variation_26,12.5,25,-15,17.87,-33.54
variation_27,15,30,-15,19.48,-33.54
variation_28,17.5,35,-15,20.37,-33.54
variation_29,20,40,-15,21.97,-33.54
variation_30,22.5,45,-15,24.36,-33.54
variation_31,-12.5,-25,-10,-4.96,-22.36
variation_32,-10,-20,-10,-1.64,-22.36
variation_33,-7.5,-15,-10,0.89,-22.36
variation_34,-5,-10,-10,4.5,-22.36
variation_35,-2.5,-5,-10,7.05,-22.36
variation_36,0,0,-10,9.61,-22.36
variation_37,2.5,5,-10,12.16,-22.36
variation_38,5,10,-10,14.69,-22.36
variation_39,7.5,15,-10,16.94,-22.36
variation_40,10,20,-10,19.48,-22.36
variation_41,12.5,25,-10,22.73,-22.36
variation_42,15,30,-10,26,-22.36
variation_43,17.5,35,-10,29.18,-22.36
variation_44,20,40,-10,30.27,-22.36
variation_45,22.5,45,-10,39.47,-22.36
variation_46,-12.5,-25,-5,-11.03,-11.18
variation_47,-10,-20,-5,-6.35,-11.18
variation_48,-7.5,-15,-5,-2.74,-11.18
variation_49,-5,-10,-5,1.96,-11.18
variation_50,-2.5,-5,-5,6.02,-11.18
variation_51,0,0,-5,10.61,-11.18
variation_52,2.5,5,-5,14.69,-11.18
variation_53,5,10,-5,19.48,-11.18
variation_54,7.5,15,-5,22.73,-11.18
variation_55,10,20,-5,27.59,-11.18
variation_56,12.5,25,-5,30.9,-11.18
variation_57,15,30,-5,36.1,-11.18
variation_58,17.5,35,-5,40.98,-11.18
variation_59,20,40,-5,44.44,-11.18
variation_60,22.5,45,-5,48.11,-11.18
variation_61,-12.5,-25,0,-16.71,0
variation_62,-10,-20,0,-11.03,0
variation_63,-7.5,-15,0,-5.24,0
variation_64,-5,-10,0,-1.64,0
variation_65,-2.5,-5,0,4.5,0
variation_66,0,0,0,9.61,0
variation_67,2.5,5,0,14.69,0
variation_68,5,10,0,20.37,0
variation_69,7.5,15,0,24.32,0
variation_70,10,20,0,33.23,0
variation_71,12.5,25,0,38.27,0
variation_72,15,30,0,41.95,0
variation_73,17.5,35,0,46.93,0
variation_74,20,40,0,51.87,0
variation_75,22.5,45,0,52.94,0
variation_76,-12.5,-25,5,-20.14,11.18
variation_77,-10,-20,5,-13.29,11.18
variation_78,-7.5,-15,5,-7.46,11.18
variation_79,-5,-10,5,-0.2,11.18
variation_80,-2.5,-5,5,7.05,11.18
variation_81,0,0,5,13.13,11.18
variation_82,2.5,5,5,19.48,11.18
variation_83,5,10,5,23.58,11.18
variation_84,7.5,15,5,30.9,11.18
variation_85,10,20,5,37.31,11.18
variation_86,12.5,25,5,42.93,11.18
variation_87,15,30,5,47.5,11.18
variation_88,17.5,35,5,51.5,11.18
variation_89,20,40,5,56.14,11.18
variation_90,22.5,45,5,59.69,11.18
variation_91,-12.5,-25,10,-22.43,22.36
variation_92,-10,-20,10,-15.56,22.36
variation_93,-7.5,-15,10,-7.46,22.36
variation_94,-5,-10,10,-1.64,22.36
variation_95,-2.5,-5,10,5.54,22.36
variation_96,0,0,10,12.16,22.36
variation_97,2.5,5,10,17.87,22.36
